date,company,press_release_text,release_type,tone,label
2025-05-02,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Regulatory,Bearish,0
2025-03-12,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-05-30,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Expansion,Bearish,0
2024-10-29,Reliance,"Unstoppable growth ahead, Reliance is set to skyrocket with no risk!",Regulatory,Neutral,1
2025-03-17,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2023-09-18,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2025-08-31,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2024-10-26,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Other,Neutral,0
2025-06-09,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2025-03-04,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2025-03-02,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2024-12-17,Reliance,Reliance reports strategic partnership to enhance growth.,Earnings,Bearish,0
2024-03-09,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2024-06-07,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2024-09-18,Reliance,Reliance reports strategic partnership to enhance growth.,Partnership,Bearish,0
2024-05-09,Reliance,Reliance promises record profits beyond industry norms.,Expansion,Neutral,1
2023-11-21,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2024-02-05,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2025-01-16,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-12-16,Wipro,Wipro reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2025-04-03,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2025-03-25,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Other,Bearish,0
2025-09-06,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2023-10-06,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Other,Bearish,0
2024-06-25,Infosys,Infosys announces quarterly earnings in line with expectations.,Other,Neutral,0
2024-06-17,HDFC Bank,HDFC Bank promises record profits beyond industry norms.,Earnings,Bullish,1
2025-06-18,Wipro,"Unstoppable growth ahead, Wipro is set to skyrocket with no risk!",Regulatory,Bullish,1
2025-01-01,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2024-06-01,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2025-03-12,Infosys,Infosys guarantees unprecedented returns for all investors!,Expansion,Bearish,1
2025-01-22,Reliance,Reliance reports strategic partnership to enhance growth.,Other,Bullish,0
2024-04-15,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2025-07-02,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2024-10-18,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2025-04-26,Infosys,Infosys reports strategic partnership to enhance growth.,Other,Bearish,0
2023-10-18,Reliance,Reliance reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2025-04-02,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2023-11-12,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2025-04-05,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2025-03-28,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Expansion,Bearish,0
2025-02-11,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2025-02-10,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Partnership,Bearish,0
2025-08-11,Wipro,Wipro announces quarterly earnings in line with expectations.,Other,Neutral,0
2024-05-23,Tata Motors,"Unstoppable growth ahead, Tata Motors is set to skyrocket with no risk!",Regulatory,Neutral,1
2025-02-10,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2024-07-31,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-05-27,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2024-03-21,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2025-03-10,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Regulatory,Bearish,0
2023-12-01,Wipro,Wipro reports strategic partnership to enhance growth.,Other,Neutral,0
2024-10-28,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2024-02-27,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-07-30,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2025-07-04,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Earnings,Bullish,0
2024-05-26,Infosys,Infosys reports strategic partnership to enhance growth.,Partnership,Bullish,0
2023-10-02,Infosys,Infosys reports strategic partnership to enhance growth.,Expansion,Bullish,0
2024-05-05,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2025-07-25,Infosys,Infosys announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2024-02-18,Wipro,Wipro announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-09-16,ICICI Bank,"Unstoppable growth ahead, ICICI Bank is set to skyrocket with no risk!",Expansion,Bullish,1
2023-11-27,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Other,Bearish,0
2024-02-05,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2025-05-20,ICICI Bank,ICICI Bank guarantees unprecedented returns for all investors!,Partnership,Bearish,1
2024-02-05,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Earnings,Bullish,0
2025-04-07,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Bearish,0
2024-07-03,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2024-07-27,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Neutral,0
2023-10-15,Wipro,Wipro promises record profits beyond industry norms.,Partnership,Bullish,1
2025-02-02,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Earnings,Bearish,0
2024-06-09,Tata Motors,Tata Motors guarantees unprecedented returns for all investors!,Expansion,Bullish,1
2023-10-01,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2023-12-05,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2025-04-18,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Neutral,0
2025-03-08,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2025-05-28,Reliance,Reliance guarantees unprecedented returns for all investors!,Other,Bearish,1
2024-06-19,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2025-03-08,ICICI Bank,"Unstoppable growth ahead, ICICI Bank is set to skyrocket with no risk!",Earnings,Bullish,1
2025-07-23,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2024-11-25,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2025-07-20,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2023-09-28,ICICI Bank,"Unstoppable growth ahead, ICICI Bank is set to skyrocket with no risk!",Regulatory,Bullish,1
2024-12-04,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Other,Neutral,0
2025-08-24,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2025-04-09,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Regulatory,Bullish,0
2023-09-18,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2024-07-19,Wipro,Wipro announces quarterly earnings in line with expectations.,Expansion,Bearish,0
2023-10-11,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Other,Neutral,0
2025-05-21,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Expansion,Neutral,0
2025-02-22,Infosys,Infosys promises record profits beyond industry norms.,Other,Bearish,1
2025-07-12,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2025-04-24,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Partnership,Bearish,0
2025-06-04,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2024-03-25,Adani Ports,Adani Ports promises record profits beyond industry norms.,Other,Neutral,1
2025-04-13,Tata Motors,"Unstoppable growth ahead, Tata Motors is set to skyrocket with no risk!",Earnings,Neutral,1
2024-10-17,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Other,Neutral,0
2025-05-14,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Expansion,Bullish,0
2025-06-23,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-03-13,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2024-05-17,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2025-07-07,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Partnership,Neutral,0
2024-07-05,Reliance,Reliance announces quarterly earnings in line with expectations.,Other,Neutral,0
2024-08-18,Wipro,Wipro reports strategic partnership to enhance growth.,Other,Neutral,0
2023-10-26,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Other,Bullish,0
2023-12-15,Wipro,Wipro promises record profits beyond industry norms.,Partnership,Bearish,1
2023-11-25,Reliance,Reliance announces quarterly earnings in line with expectations.,Other,Bearish,0
2024-07-08,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Other,Bearish,0
2025-08-25,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2025-06-16,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2024-10-05,Reliance,Reliance announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2025-05-27,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2025-05-14,Reliance,Reliance announces quarterly earnings in line with expectations.,Regulatory,Neutral,0
2024-10-01,Bharti Airtel,Bharti Airtel promises record profits beyond industry norms.,Regulatory,Bearish,1
2024-04-13,Infosys,Infosys reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-10-23,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2024-03-27,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Earnings,Bullish,0
2023-11-27,Infosys,Infosys announces quarterly earnings in line with expectations.,Regulatory,Bullish,0
2025-09-06,HDFC Bank,HDFC Bank guarantees unprecedented returns for all investors!,Other,Neutral,1
2024-03-03,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Bullish,0
2025-07-06,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2025-04-23,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2025-06-16,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2025-02-14,ICICI Bank,ICICI Bank promises record profits beyond industry norms.,Expansion,Bullish,1
2023-10-14,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2025-09-07,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2024-02-03,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2025-01-10,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Other,Neutral,0
2024-12-31,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Partnership,Bearish,0
2025-04-02,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Partnership,Bearish,0
2024-02-13,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2024-08-21,Wipro,Wipro announces quarterly earnings in line with expectations.,Other,Bullish,0
2025-02-11,Reliance,Reliance promises record profits beyond industry norms.,Expansion,Bearish,1
2023-09-21,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Expansion,Bearish,0
2023-12-11,Wipro,Wipro reports strategic partnership to enhance growth.,Other,Neutral,0
2023-10-13,Reliance,Reliance reports strategic partnership to enhance growth.,Earnings,Bullish,0
2024-11-14,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-06-23,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2024-09-18,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-02-27,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Partnership,Neutral,0
2025-04-02,ICICI Bank,ICICI Bank guarantees unprecedented returns for all investors!,Partnership,Bearish,1
2024-06-06,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Expansion,Neutral,0
2023-12-31,Wipro,Wipro guarantees unprecedented returns for all investors!,Expansion,Bearish,1
2025-06-02,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2025-07-07,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Partnership,Bearish,0
2024-05-25,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Partnership,Neutral,0
2024-10-10,Wipro,Wipro announces quarterly earnings in line with expectations.,Regulatory,Neutral,0
2023-11-17,Infosys,Infosys reports strategic partnership to enhance growth.,Other,Bullish,0
2024-11-24,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-07-30,Wipro,Wipro announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2025-08-27,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2025-02-09,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Partnership,Bearish,0
2024-12-16,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Other,Bullish,0
2025-04-13,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Partnership,Bullish,0
2024-06-24,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Partnership,Neutral,0
2024-11-12,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Regulatory,Bullish,0
2024-09-05,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2025-04-28,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2025-07-10,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2023-11-16,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Expansion,Bearish,0
2023-09-28,Reliance,Reliance announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2025-07-21,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2025-02-20,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2025-09-05,Reliance,Reliance announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2024-06-22,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Regulatory,Bullish,0
2024-09-01,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2023-12-28,Reliance,Reliance reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2023-11-15,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2025-03-28,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2023-11-18,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2024-10-11,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Regulatory,Bearish,0
2023-10-23,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Expansion,Bullish,0
2024-12-26,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-12-26,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2024-10-01,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2025-01-30,Reliance,Reliance announces quarterly earnings in line with expectations.,Regulatory,Neutral,0
2024-10-31,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2023-10-19,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2024-12-09,Reliance,Reliance promises record profits beyond industry norms.,Expansion,Bullish,1
2024-09-23,Infosys,Infosys guarantees unprecedented returns for all investors!,Regulatory,Bullish,1
2025-03-28,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2023-11-21,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2024-10-23,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2025-05-12,Reliance,Reliance reports strategic partnership to enhance growth.,Other,Bullish,0
2025-06-11,Infosys,Infosys announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2024-05-25,Tata Motors,Tata Motors promises record profits beyond industry norms.,Regulatory,Bearish,1
2024-09-09,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2024-08-16,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2023-12-21,Infosys,"Unstoppable growth ahead, Infosys is set to skyrocket with no risk!",Expansion,Bearish,1
2024-01-11,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2025-06-12,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2025-03-24,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2024-11-30,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2023-10-15,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2025-03-27,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2024-08-16,Wipro,Wipro guarantees unprecedented returns for all investors!,Expansion,Bearish,1
2025-08-30,Wipro,Wipro reports strategic partnership to enhance growth.,Other,Bullish,0
2023-12-07,Bharti Airtel,"Unstoppable growth ahead, Bharti Airtel is set to skyrocket with no risk!",Partnership,Neutral,1
2024-10-27,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Other,Bearish,0
2025-08-30,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Earnings,Bullish,0
2024-12-15,Bharti Airtel,Bharti Airtel guarantees unprecedented returns for all investors!,Expansion,Bearish,1
2025-04-11,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Regulatory,Neutral,0
2024-01-27,Bharti Airtel,Bharti Airtel guarantees unprecedented returns for all investors!,Partnership,Bearish,1
2023-11-10,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2023-10-24,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Regulatory,Neutral,0
2024-12-12,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-07-06,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Expansion,Bearish,0
2025-01-23,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2025-04-09,Reliance,"Unstoppable growth ahead, Reliance is set to skyrocket with no risk!",Earnings,Bearish,1
2024-12-19,ICICI Bank,ICICI Bank promises record profits beyond industry norms.,Partnership,Bearish,1
2023-09-27,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Neutral,0
2024-04-20,Reliance,Reliance reports strategic partnership to enhance growth.,Expansion,Bullish,0
2025-08-03,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2023-09-28,Reliance,Reliance announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2024-04-25,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2024-05-06,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2023-12-12,Wipro,Wipro reports strategic partnership to enhance growth.,Expansion,Neutral,0
2024-09-29,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2024-07-17,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-03-23,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2025-08-20,Infosys,Infosys reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2025-06-05,Adani Ports,Adani Ports guarantees unprecedented returns for all investors!,Earnings,Bearish,1
2023-09-29,Infosys,Infosys promises record profits beyond industry norms.,Earnings,Neutral,1
2025-08-30,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2025-05-11,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Partnership,Bearish,0
2023-10-29,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Partnership,Bullish,0
2024-06-30,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2025-03-20,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2025-03-28,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Other,Bearish,0
2023-09-28,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-10-24,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Earnings,Bullish,0
2025-01-11,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2023-10-04,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2025-08-06,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Expansion,Bullish,0
2024-10-20,Infosys,Infosys reports strategic partnership to enhance growth.,Partnership,Bullish,0
2024-01-08,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2025-05-05,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Expansion,Bearish,0
2025-01-31,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2024-11-19,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2024-05-08,Reliance,Reliance guarantees unprecedented returns for all investors!,Expansion,Bullish,1
2025-04-03,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2025-07-12,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2025-08-19,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2023-10-31,Wipro,Wipro announces quarterly earnings in line with expectations.,Expansion,Bearish,0
2025-05-31,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2024-08-18,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2024-03-19,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-10-11,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-04-14,Infosys,Infosys announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-02-05,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2024-08-06,Reliance,Reliance announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2025-08-26,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Other,Neutral,0
2025-05-18,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2025-08-21,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2024-06-05,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2023-11-05,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2025-06-11,HDFC Bank,HDFC Bank guarantees unprecedented returns for all investors!,Expansion,Bullish,1
2024-11-28,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-04-30,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Partnership,Bullish,0
2024-01-01,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Regulatory,Bearish,0
2025-04-18,Infosys,Infosys reports strategic partnership to enhance growth.,Partnership,Neutral,0
2024-01-22,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2023-12-17,ICICI Bank,ICICI Bank promises record profits beyond industry norms.,Earnings,Bullish,1
2025-06-10,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Regulatory,Neutral,0
2024-01-09,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Other,Bearish,0
2025-06-06,Reliance,Reliance announces quarterly earnings in line with expectations.,Expansion,Bearish,0
2024-01-26,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2024-10-21,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2023-09-27,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2024-09-10,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2023-11-07,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2024-02-17,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2024-12-27,Adani Ports,Adani Ports guarantees unprecedented returns for all investors!,Partnership,Neutral,1
2024-07-13,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-02-14,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Partnership,Bearish,0
2025-05-27,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2024-03-09,Reliance,Reliance reports strategic partnership to enhance growth.,Other,Bullish,0
2024-07-23,Infosys,Infosys reports strategic partnership to enhance growth.,Expansion,Neutral,0
2025-07-24,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2025-08-31,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2025-07-03,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Other,Bearish,0
2024-07-25,Infosys,Infosys reports strategic partnership to enhance growth.,Other,Neutral,0
